code,name_en,name_fr,description_en,description_fr
11110,Education policy and administrative management,Politique de l’éducation et gestion administrative,"Education sector policy, planning and programmes; aid to education ministries, administration and management systems; institution capacity building and advice; school management and governance; curriculum and materials development; unspecified education activities.","Politique de l’éducation, planification et programmes ; aide aux ministères de l’éducation, à l’administration et au développement de systèmes de gestion, renforcement des capacités institutionnelles et conseils ; gestion et direction des écoles, développement des programmes d’études et des matériels pédagogiques ; activités d’éducation non spécifiées."
11120,Education facilities and training,Équipements scolaires et formation,"Educational buildings, equipment, materials; subsidiary services to education (boarding facilities, staff housing); language training; colloquia, seminars, lectures, etc.","Bâtiments scolaires, équipement, fournitures ; services pour l’éducation (équipement pour les pensionnaires, logement pour le personnel) ; cours de langues ; colloques, séminaires, conférences, etc."
11130,Teacher training,Formation des enseignants,Teacher education (where the level of education is unspecified); in-service and pre-service training; materials development.,Éducation des enseignants (quand le niveau d’éducation n’est pas spécifié) ; formation et formation continue ; développement des matériels pédagogiques.
11182,Educational research,Recherche en éducation,"Research and studies on education effectiveness, relevance and quality; systematic evaluation and monitoring.","Recherche et études sur l’efficacité, la pertinence et la qualité de l’éducation ; évaluation et suivi systématiques."
11220,Primary education,Enseignement primaire,Formal and non-formal primary education for children; all elementary and first cycle systematic instruction; provision of learning materials.,Enseignement primaire formel et non formel pour les enfants ; enseignement élémentaire général ; fournitures scolaires.
11230,Basic life skills for youth and adults,Éducation pour une meilleure qualité de vie pour les jeunes et les adultes,Formal and non-formal education for basic life skills for young people and adults (adults education); literacy and numeracy training.,Éducation formelle et non formelle pour une meilleure qualité de vie pour les jeunes et les adultes (éducation des adultes) ; alphabétisation et apprentissage du calcul.
11240,Early childhood education,Éducation de la petite enfance,Formal and non-formal pre-school education.,Éducation préscolaire formelle et non formelle.
11320,Secondary education,Enseignement secondaire,Second cycle systematic instruction at both junior and senior levels.,Éducation secondaire généralisée pour les premiers et derniers cycles.
11330,Vocational training,Formation professionnelle,Elementary vocational training and secondary level technical education; on-the job training; apprenticeships; including informal vocational training.,Formation professionnelle élémentaire et enseignement technique au niveau secondaire ; formation sur le tas ; apprentissage.
11420,Higher education,Enseignement supérieur,"Degree and diploma programmes at universities, colleges and polytechnics; scholarships.","Diplômes universitaires, de l’enseignement supérieur, de technologie ; bourses d’études."
11430,Advanced technical and managerial training,Formation technique supérieure de gestion,Professional-level vocational training programmes and in-service training.,Formation professionnelle supérieure et formation sur le tas.
12110,Health policy and administrative management,Politique de la santé et gestion administrative,"Health sector policy, planning and programmes; aid to health ministries, public health administration; institution capacity building and advice; medical insurance programmes; unspecified health activities.","Politique de la santé, planification et programmes ; aide aux ministères de la santé ; administration de la santé publique ; renforcement des capacités institutionnelles et conseils ; programmes d’assurance-maladie ; activités de santé non spécifiés."
12181,Medical education/training,Éducation et formation médicales,Medical education and training for tertiary level services.,Enseignement médical et formation pour les services au niveau tertiaire.
12182,Medical research,Recherche médicale,General medical research (excluding basic health research).,Recherche médicale (à l’exclusion de la recherche sur la santé de base).
12191,Medical services,Services médicaux,"Laboratories, specialised clinics and hospitals (including equipment and supplies); ambulances; dental services; mental health care; medical rehabilitation; control of non-infectious diseases; drug and substance abuse control [excluding narcotics traffic control (16063)].","Laboratoires, centres de santé et hôpitaux spécialisés (y compris l’équipement et les fournitures) ; ambulances ; services dentaires ; santé mentale ; rééducation médicale ; lutte contre les maladies à l’exclusion des maladies infectieuses ; lutte contre la toxicomanie [à l’exclusion du trafic de drogues (16063)]."
12220,Basic health care,Soins et services de santé de base,"Basic and primary health care programmes; paramedical and nursing care programmes; supply of drugs, medicines and vaccines related to basic health care.",Programmes de soins sanitaires primaires et de base ; programmes de soins paramédicaux et infirmiers ; approvisionnement en médicaments et en vaccins relatifs aux soins et services de santé de base.
12230,Basic health infrastructure,Infrastructure pour la santé de base,"District-level hospitals, clinics and dispensaries and related medical equipment; excluding specialised hospitals and clinics (12191).","Hôpitaux régionaux, centres de santé, dispensaires et équipements médicaux ; à l’exclusion des hôpitaux et centres de santé spécialisés (12191)."
12240,Basic nutrition,Nutrition de base,"Direct feeding programmes (maternal feeding, breastfeeding and weaning foods, child feeding, school feeding); determination of micro-nutrient deficiencies; provision of vitamin A, iodine, iron etc.; monitoring of nutritional status; nutrition and food hygiene education; household food security.","Programmes pour l’alimentation (alimentation maternelle, allaitement et alimentation du sevrage, alimentation de l’enfant, alimentation à l’école) ; identification des déficiences nutritives ; fourniture de vitamine A, d’iode, de fer, etc. ; surveillance de l’état nutritionnel ; enseignement de la nutrition et de l’hygiène alimentaire ; alimentation domestique."
12250,Infectious disease control,Lutte contre les maladies infectieuses,"Immunisation; prevention and control of infectious and parasite diseases, except malaria (12262), tuberculosis (12263), HIV/AIDS and other STDs (13040). It includes diarrheal diseases, vector-borne diseases (e.g. river blindness and guinea worm), viral diseases, mycosis, helminthiasis, zoonosis, diseases by other bacteria and viruses, pediculosis, etc.","Vaccination ;  prévention et lutte contre les maladies infectieuses parasitaires à l’exception du paludisme (12262), de la tuberculose (12263), du VIH/sida et autres MST (13040). Ceci inclus les diarrhées chroniques, les maladies transmises par un vecteur (par exemple onchocercose, bilharziose), les maladies virales, les mycoses, l’helminthiasis, les zoonoses et les maladies provoquées par d’autres bactéries et virus, pédiculose, etc."
12261,Health education,Éducation sanitaire,"Information, education and training of the population for improving health knowledge and practices; public health and awareness campaigns; promotion of improved personal hygiene practices, including use of sanitation facilities and handwashing with soap.","Information, éducation et formation de la population pour l’amélioration des connaissances et des pratiques liées à la santé ; campagnes pour la santé publique et programmes de sensibilisation ; promotion de meilleures pratiques d’hygiène personnelle, notamment de l’utilisation d’équipements sanitaires et du savonnage des mains."
12262,Malaria control,Lutte contre le paludisme,Prevention and control of malaria.,Prévention et lutte contre le paludisme.
12263,Tuberculosis control,Lutte contre la tuberculose,"Immunisation, prevention and control of tuberculosis.","Vaccination, prévention et lutte contre la tuberculose."
12281,Health personnel development,Formation de personnel de santé,Training of health staff for basic health care services.,Formation du personnel de santé pour les services et les soins sanitaires de base.
13010,Population policy and administrative management,Politique/programmes en matière de population et gestion administrative,"Population/development policies; census work, vital registration; migration data; demographic research/analysis; reproductive health research; unspecified population activities.","Politique en matière de population et de développement ; recensement, enregistrement des naissances/décès ; données sur la migration ; recherche et analyse démographiques ; recherche en santé et fertilité ; activités de population non spécifiées."
13020,Reproductive health care,Soins en matière de fertilité,Promotion of reproductive health; prenatal and postnatal care including delivery; prevention and treatment of infertility; prevention and management of consequences of abortion; safe motherhood activities.,"Santé et fertilité ; soins prénatals et périnatals, y compris l’accouchement ; prévention et traitement de la stérilité ; prévention et suites de l’avortement ; activités pour une maternité sans risque."
